period,region,con,arv_count
2013-12,Not Stated,Not Stated,208
2014-01,Americas,Canada,13824
2014-01,Americas,USA,47714
2014-01,Americas,Other Countries in Americas,7591
2014-01,Asia,Brunei Darussalam,4971
2014-01,Asia,Indonesia,285958
2014-01,Asia,Malaysia,69521
2014-01,Asia,Myanmar,8027
2014-01,Asia,Philippines,48389
2014-01,Asia,Thailand,32236
2014-01,Asia,Vietnam,24700
2014-01,Asia,Other Countries in Southeast Asia,3976
2014-01,Asia,China,215493
2014-01,Asia,Taiwan,32151
2014-01,Asia,Japan,65820
2014-01,Asia,South Korea,62994
2014-01,Asia,Other Countries in North Asia,1093
2014-01,Asia,Bangladesh,10574
2014-01,Asia,India,72989
2014-01,Asia,Nepal,1675
2014-01,Asia,Pakistan,1613
2014-01,Asia,Sri Lanka,7533
2014-01,Asia,Other Countries in South Asia,788
2014-01,Asia,Iran,1139
2014-01,Asia,Israel,1402
2014-01,Asia,Kuwait,670
2014-01,Asia,Saudi Arabia,2216
2014-01,Asia,United Arab Emirates,955
2014-01,Asia,Other Countries in West Asia,1461
2014-01,Europe,Austria,2742
2014-01,Europe,Belgium &  Luxembourg,2265
2014-01,Europe,Denmark,4208
2014-01,Europe,Finland,4695
2014-01,Europe,France,15328
2014-01,Europe,Germany,27321
2014-01,Europe,Greece,848
2014-01,Europe,Italy,6638
2014-01,Europe,Netherlands,9358
2014-01,Europe,Norway,3481
2014-01,Europe,Poland,2268
2014-01,Europe,Rep of Ireland,2757
2014-01,Europe,Russian Federation (CIS),16234
2014-01,Europe,Spain,3212
2014-01,Europe,Sweden,7366
2014-01,Europe,Switzerland,7744
2014-01,Europe,Turkey,2712
2014-01,Europe,UK,52412
2014-01,Europe,Other Countries in Eastern Europe,11488
2014-01,Europe,Other Countries in Western Europe,1706
2014-01,Oceania,Australia,113528
2014-01,Oceania,New Zealand,12579
2014-01,Oceania,Other Countries in Oceania,735
2014-01,Africa,Egypt,460
2014-01,Africa,Mauritius,713
2014-01,Africa,South Africa (Rep of),3256
2014-01,Africa,Other Countries in Africa,2054
2014-01,Not Stated,Not Stated,261
2014-02,Americas,Canada,13709
2014-02,Americas,USA,48478
2014-02,Americas,Other Countries in Americas,5968
2014-02,Asia,Brunei Darussalam,4034
2014-02,Asia,Indonesia,220223
2014-02,Asia,Malaysia,71084
2014-02,Asia,Myanmar,7595
2014-02,Asia,Philippines,47228
2014-02,Asia,Thailand,31739
2014-02,Asia,Vietnam,32541
2014-02,Asia,Other Countries in Southeast Asia,4325
2014-02,Asia,China,239223
2014-02,Asia,Taiwan,33144
2014-02,Asia,Japan,74042
2014-02,Asia,South Korea,54448
2014-02,Asia,Other Countries in North Asia,796
2014-02,Asia,Bangladesh,9470
2014-02,Asia,India,68035
2014-02,Asia,Nepal,1351
2014-02,Asia,Pakistan,1441
2014-02,Asia,Sri Lanka,6446
2014-02,Asia,Other Countries in South Asia,718
2014-02,Asia,Iran,1104
2014-02,Asia,Israel,1586
2014-02,Asia,Kuwait,1305
2014-02,Asia,Saudi Arabia,1105
2014-02,Asia,United Arab Emirates,1012
2014-02,Asia,Other Countries in West Asia,1613
2014-02,Europe,Austria,3226
2014-02,Europe,Belgium &  Luxembourg,2563
2014-02,Europe,Denmark,4347
2014-02,Europe,Finland,4839
2014-02,Europe,France,17312
2014-02,Europe,Germany,27273
2014-02,Europe,Greece,742
2014-02,Europe,Italy,6145
2014-02,Europe,Netherlands,9104
2014-02,Europe,Norway,3656
2014-02,Europe,Poland,2825
2014-02,Europe,Rep of Ireland,2267
2014-02,Europe,Russian Federation (CIS),9499
2014-02,Europe,Spain,3206
2014-02,Europe,Sweden,5745
2014-02,Europe,Switzerland,7496
2014-02,Europe,Turkey,2324
2014-02,Europe,UK,53732
2014-02,Europe,Other Countries in Eastern Europe,9968
2014-02,Europe,Other Countries in Western Europe,1563
2014-02,Oceania,Australia,63011
2014-02,Oceania,New Zealand,8026
2014-02,Oceania,Other Countries in Oceania,594
2014-02,Africa,Egypt,470
2014-02,Africa,Mauritius,504
2014-02,Africa,South Africa (Rep of),1934
2014-02,Africa,Other Countries in Africa,1843
2014-02,Not Stated,Not Stated,262
2014-03,Americas,Canada,14638
2014-03,Americas,USA,54822
2014-03,Americas,Other Countries in Americas,7202
2014-03,Asia,Brunei Darussalam,6039
2014-03,Asia,Indonesia,245148
2014-03,Asia,Malaysia,85401
2014-03,Asia,Myanmar,9855
2014-03,Asia,Philippines,60354
2014-03,Asia,Thailand,42657
2014-03,Asia,Vietnam,30335
2014-03,Asia,Other Countries in Southeast Asia,3476
2014-03,Asia,China,194608
2014-03,Asia,Taiwan,22501
2014-03,Asia,Japan,91256
2014-03,Asia,South Korea,43079
2014-03,Asia,Other Countries in North Asia,680
2014-03,Asia,Bangladesh,10718
2014-03,Asia,India,76087
2014-03,Asia,Nepal,1342
2014-03,Asia,Pakistan,2004
2014-03,Asia,Sri Lanka,6103
2014-03,Asia,Other Countries in South Asia,783
2014-03,Asia,Iran,3765
2014-03,Asia,Israel,1332
2014-03,Asia,Kuwait,384
2014-03,Asia,Saudi Arabia,1521
2014-03,Asia,United Arab Emirates,1817
2014-03,Asia,Other Countries in West Asia,1305
2014-03,Europe,Austria,3056
2014-03,Europe,Belgium &  Luxembourg,3000
2014-03,Europe,Denmark,3748
2014-03,Europe,Finland,3733
2014-03,Europe,France,19563
2014-03,Europe,Germany,32927
2014-03,Europe,Greece,915
2014-03,Europe,Italy,7383
2014-03,Europe,Netherlands,9903
2014-03,Europe,Norway,3535
2014-03,Europe,Poland,2331
2014-03,Europe,Rep of Ireland,2502
2014-03,Europe,Russian Federation (CIS),9934
2014-03,Europe,Spain,3678
2014-03,Europe,Sweden,5407
2014-03,Europe,Switzerland,7261
2014-03,Europe,Turkey,1850
2014-03,Europe,UK,60278
2014-03,Europe,Other Countries in Eastern Europe,9945
2014-03,Europe,Other Countries in Western Europe,1823
2014-03,Oceania,Australia,70301
2014-03,Oceania,New Zealand,8719
2014-03,Oceania,Other Countries in Oceania,687
2014-03,Africa,Egypt,432
2014-03,Africa,Mauritius,495
2014-03,Africa,South Africa (Rep of),2604
2014-03,Africa,Other Countries in Africa,2062
2014-03,Not Stated,Not Stated,267
2014-04,Americas,Canada,11174
2014-04,Americas,USA,42568
2014-04,Americas,Other Countries in Americas,6564
2014-04,Asia,Brunei Darussalam,3750
2014-04,Asia,Indonesia,229813
2014-04,Asia,Malaysia,75084
2014-04,Asia,Myanmar,15300
2014-04,Asia,Philippines,77252
2014-04,Asia,Thailand,51614
2014-04,Asia,Vietnam,29292
2014-04,Asia,Other Countries in Southeast Asia,6058
2014-04,Asia,China,179757
2014-04,Asia,Taiwan,26535
2014-04,Asia,Japan,56409
2014-04,Asia,South Korea,38675
2014-04,Asia,Other Countries in North Asia,605
2014-04,Asia,Bangladesh,9771
2014-04,Asia,India,84654
2014-04,Asia,Nepal,1366
2014-04,Asia,Pakistan,1770
2014-04,Asia,Sri Lanka,11466
2014-04,Asia,Other Countries in South Asia,988
2014-04,Asia,Iran,737
2014-04,Asia,Israel,1293
2014-04,Asia,Kuwait,343
2014-04,Asia,Saudi Arabia,921
2014-04,Asia,United Arab Emirates,1453
2014-04,Asia,Other Countries in West Asia,1423
2014-04,Europe,Austria,2391
2014-04,Europe,Belgium &  Luxembourg,2742
2014-04,Europe,Denmark,3266
2014-04,Europe,Finland,2627
2014-04,Europe,France,17828
2014-04,Europe,Germany,24600
2014-04,Europe,Greece,730
2014-04,Europe,Italy,6243
2014-04,Europe,Netherlands,8280
2014-04,Europe,Norway,4085
2014-04,Europe,Poland,1651
2014-04,Europe,Rep of Ireland,2437
2014-04,Europe,Russian Federation (CIS),7328
2014-04,Europe,Spain,3917
2014-04,Europe,Sweden,4378
2014-04,Europe,Switzerland,8353
2014-04,Europe,Turkey,1528
2014-04,Europe,UK,55366
2014-04,Europe,Other Countries in Eastern Europe,6781
2014-04,Europe,Other Countries in Western Europe,2252
2014-04,Oceania,Australia,92241
2014-04,Oceania,New Zealand,11706
2014-04,Oceania,Other Countries in Oceania,749
2014-04,Africa,Egypt,450
2014-04,Africa,Mauritius,782
2014-04,Africa,South Africa (Rep of),3609
2014-04,Africa,Other Countries in Africa,2092
2014-04,Not Stated,Not Stated,260
2014-05,Americas,Canada,9977
2014-05,Americas,USA,39670
2014-05,Americas,Other Countries in Americas,5304
2014-05,Asia,Brunei Darussalam,4814
2014-05,Asia,Indonesia,267541
2014-05,Asia,Malaysia,79080
2014-05,Asia,Myanmar,9576
2014-05,Asia,Philippines,81189
2014-05,Asia,Thailand,43265
2014-05,Asia,Vietnam,35963
2014-05,Asia,Other Countries in Southeast Asia,4972
2014-05,Asia,China,129506
2014-05,Asia,Taiwan,27471
2014-05,Asia,Japan,59639
2014-05,Asia,South Korea,44112
2014-05,Asia,Other Countries in North Asia,460
2014-05,Asia,Bangladesh,9917
2014-05,Asia,India,123710
2014-05,Asia,Nepal,1381
2014-05,Asia,Pakistan,1744
2014-05,Asia,Sri Lanka,7380
2014-05,Asia,Other Countries in South Asia,753
2014-05,Asia,Iran,596
2014-05,Asia,Israel,1068
2014-05,Asia,Kuwait,295
2014-05,Asia,Saudi Arabia,1162
2014-05,Asia,United Arab Emirates,965
2014-05,Asia,Other Countries in West Asia,1311
2014-05,Europe,Austria,1785
2014-05,Europe,Belgium &  Luxembourg,1994
2014-05,Europe,Denmark,2034
2014-05,Europe,Finland,1727
2014-05,Europe,France,16029
2014-05,Europe,Germany,17556
2014-05,Europe,Greece,726
2014-05,Europe,Italy,4964
2014-05,Europe,Netherlands,7513
2014-05,Europe,Norway,2012
2014-05,Europe,Poland,1650
2014-05,Europe,Rep of Ireland,2118
2014-05,Europe,Russian Federation (CIS),6056
2014-05,Europe,Spain,3033
2014-05,Europe,Sweden,2865
2014-05,Europe,Switzerland,5369
2014-05,Europe,Turkey,1420
2014-05,Europe,UK,38601
2014-05,Europe,Other Countries in Eastern Europe,5797
2014-05,Europe,Other Countries in Western Europe,1430
2014-05,Oceania,Australia,73203
2014-05,Oceania,New Zealand,11995
2014-05,Oceania,Other Countries in Oceania,802
2014-05,Africa,Egypt,398
2014-05,Africa,Mauritius,446
2014-05,Africa,South Africa (Rep of),2174
2014-05,Africa,Other Countries in Africa,1891
2014-05,Not Stated,Not Stated,123
2014-06,Americas,Canada,8616
2014-06,Americas,USA,45345
2014-06,Americas,Other Countries in Americas,4699
2014-06,Asia,Brunei Darussalam,6213
2014-06,Asia,Indonesia,279509
2014-06,Asia,Malaysia,88352
2014-06,Asia,Myanmar,9539
2014-06,Asia,Philippines,60017
2014-06,Asia,Thailand,35842
2014-06,Asia,Vietnam,48670
2014-06,Asia,Other Countries in Southeast Asia,3990
2014-06,Asia,China,126451
2014-06,Asia,Taiwan,26418
2014-06,Asia,Japan,60610
2014-06,Asia,South Korea,39593
2014-06,Asia,Other Countries in North Asia,768
2014-06,Asia,Bangladesh,11170
2014-06,Asia,India,100736
2014-06,Asia,Nepal,1681
2014-06,Asia,Pakistan,3281
2014-06,Asia,Sri Lanka,6781
2014-06,Asia,Other Countries in South Asia,866
2014-06,Asia,Iran,845
2014-06,Asia,Israel,1214
2014-06,Asia,Kuwait,574
2014-06,Asia,Saudi Arabia,1624
2014-06,Asia,United Arab Emirates,1321
2014-06,Asia,Other Countries in West Asia,1825
2014-06,Europe,Austria,1432
2014-06,Europe,Belgium &  Luxembourg,1847
2014-06,Europe,Denmark,2109
2014-06,Europe,Finland,1707
2014-06,Europe,France,12665
2014-06,Europe,Germany,15312
2014-06,Europe,Greece,676
2014-06,Europe,Italy,4711
2014-06,Europe,Netherlands,6395
2014-06,Europe,Norway,2191
2014-06,Europe,Poland,1230
2014-06,Europe,Rep of Ireland,2210
2014-06,Europe,Russian Federation (CIS),5105
2014-06,Europe,Spain,2870
2014-06,Europe,Sweden,2526
2014-06,Europe,Switzerland,4544
2014-06,Europe,Turkey,1398
2014-06,Europe,UK,35755
2014-06,Europe,Other Countries in Eastern Europe,5251
2014-06,Europe,Other Countries in Western Europe,1405
2014-06,Oceania,Australia,75430
2014-06,Oceania,New Zealand,12143
2014-06,Oceania,Other Countries in Oceania,834
2014-06,Africa,Egypt,417
2014-06,Africa,Mauritius,558
2014-06,Africa,South Africa (Rep of),2097
2014-06,Africa,Other Countries in Africa,2021
2014-06,Not Stated,Not Stated,33
2014-07,Americas,Canada,10562
2014-07,Americas,USA,46299
2014-07,Americas,Other Countries in Americas,5380
2014-07,Asia,Brunei Darussalam,4483
2014-07,Asia,Indonesia,300011
2014-07,Asia,Malaysia,78808
2014-07,Asia,Myanmar,9416
2014-07,Asia,Philippines,54246
2014-07,Asia,Thailand,40526
2014-07,Asia,Vietnam,55405
2014-07,Asia,Other Countries in Southeast Asia,4650
2014-07,Asia,China,247904
2014-07,Asia,Taiwan,45289
2014-07,Asia,Japan,75162
2014-07,Asia,South Korea,49457
2014-07,Asia,Other Countries in North Asia,943
2014-07,Asia,Bangladesh,10030
2014-07,Asia,India,81958
2014-07,Asia,Nepal,1562
2014-07,Asia,Pakistan,1744
2014-07,Asia,Sri Lanka,6456
2014-07,Asia,Other Countries in South Asia,728
2014-07,Asia,Iran,998
2014-07,Asia,Israel,1071
2014-07,Asia,Kuwait,865
2014-07,Asia,Saudi Arabia,1093
2014-07,Asia,United Arab Emirates,1304
2014-07,Asia,Other Countries in West Asia,1381
2014-07,Europe,Austria,2771
2014-07,Europe,Belgium &  Luxembourg,3105
2014-07,Europe,Denmark,3710
2014-07,Europe,Finland,1412
2014-07,Europe,France,17646
2014-07,Europe,Germany,19293
2014-07,Europe,Greece,814
2014-07,Europe,Italy,6215
2014-07,Europe,Netherlands,9582
2014-07,Europe,Norway,3337
2014-07,Europe,Poland,1831
2014-07,Europe,Rep of Ireland,2667
2014-07,Europe,Russian Federation (CIS),5629
2014-07,Europe,Spain,4414
2014-07,Europe,Sweden,3068
2014-07,Europe,Switzerland,9095
2014-07,Europe,Turkey,1462
2014-07,Europe,UK,44016
2014-07,Europe,Other Countries in Eastern Europe,6005
2014-07,Europe,Other Countries in Western Europe,1991
2014-07,Oceania,Australia,100225
2014-07,Oceania,New Zealand,15580
2014-07,Oceania,Other Countries in Oceania,707
2014-07,Africa,Egypt,279
2014-07,Africa,Mauritius,728
2014-07,Africa,South Africa (Rep of),2763
2014-07,Africa,Other Countries in Africa,2274
2014-07,Not Stated,Not Stated,50
2014-08,Americas,Canada,10347
2014-08,Americas,USA,41355
2014-08,Americas,Other Countries in Americas,4676
2014-08,Asia,Brunei Darussalam,3702
2014-08,Asia,Indonesia,236058
2014-08,Asia,Malaysia,71561
2014-08,Asia,Myanmar,8879
2014-08,Asia,Philippines,55054
2014-08,Asia,Thailand,37453
2014-08,Asia,Vietnam,40910
2014-08,Asia,Other Countries in Southeast Asia,4237
2014-08,Asia,China,250243
2014-08,Asia,Taiwan,39147
2014-08,Asia,Japan,100904
2014-08,Asia,South Korea,59115
2014-08,Asia,Other Countries in North Asia,656
2014-08,Asia,Bangladesh,11822
2014-08,Asia,India,78089
2014-08,Asia,Nepal,1705
2014-08,Asia,Pakistan,2731
2014-08,Asia,Sri Lanka,10301
2014-08,Asia,Other Countries in South Asia,872
2014-08,Asia,Iran,1103
2014-08,Asia,Israel,1170
2014-08,Asia,Kuwait,2480
2014-08,Asia,Saudi Arabia,4540
2014-08,Asia,United Arab Emirates,4256
2014-08,Asia,Other Countries in West Asia,4708
2014-08,Europe,Austria,2695
2014-08,Europe,Belgium &  Luxembourg,2847
2014-08,Europe,Denmark,2555
2014-08,Europe,Finland,1327
2014-08,Europe,France,23930
2014-08,Europe,Germany,26812
2014-08,Europe,Greece,861
2014-08,Europe,Italy,14546
2014-08,Europe,Netherlands,10086
2014-08,Europe,Norway,2061
2014-08,Europe,Poland,2372
2014-08,Europe,Rep of Ireland,2504
2014-08,Europe,Russian Federation (CIS),6415
2014-08,Europe,Spain,7566
2014-08,Europe,Sweden,2277
2014-08,Europe,Switzerland,7295
2014-08,Europe,Turkey,1882
2014-08,Europe,UK,49087
2014-08,Europe,Other Countries in Eastern Europe,6621
2014-08,Europe,Other Countries in Western Europe,2784
2014-08,Oceania,Australia,77610
2014-08,Oceania,New Zealand,12573
2014-08,Oceania,Other Countries in Oceania,734
2014-08,Africa,Egypt,647
2014-08,Africa,Mauritius,677
2014-08,Africa,South Africa (Rep of),2335
2014-08,Africa,Other Countries in Africa,3695
2014-08,Not Stated,Not Stated,67
2014-09,Americas,Canada,8151
2014-09,Americas,USA,37259
2014-09,Americas,Other Countries in Americas,5457
2014-09,Asia,Brunei Darussalam,4472
2014-09,Asia,Indonesia,206080
2014-09,Asia,Malaysia,81469
2014-09,Asia,Myanmar,8329
2014-09,Asia,Philippines,49950
2014-09,Asia,Thailand,31682
2014-09,Asia,Vietnam,28372
2014-09,Asia,Other Countries in Southeast Asia,4613
2014-09,Asia,China,131007
2014-09,Asia,Taiwan,26045
2014-09,Asia,Japan,78928
2014-09,Asia,South Korea,41222
2014-09,Asia,Other Countries in North Asia,654
2014-09,Asia,Bangladesh,9577
2014-09,Asia,India,70538
2014-09,Asia,Nepal,1632
2014-09,Asia,Pakistan,1553
2014-09,Asia,Sri Lanka,7943
2014-09,Asia,Other Countries in South Asia,713
2014-09,Asia,Iran,1419
2014-09,Asia,Israel,1202
2014-09,Asia,Kuwait,459
2014-09,Asia,Saudi Arabia,1943
2014-09,Asia,United Arab Emirates,1055
2014-09,Asia,Other Countries in West Asia,1349
2014-09,Europe,Austria,2435
2014-09,Europe,Belgium &  Luxembourg,2412
2014-09,Europe,Denmark,2787
2014-09,Europe,Finland,2046
2014-09,Europe,France,14010
2014-09,Europe,Germany,24451
2014-09,Europe,Greece,886
2014-09,Europe,Italy,6564
2014-09,Europe,Netherlands,7591
2014-09,Europe,Norway,2295
2014-09,Europe,Poland,2153
2014-09,Europe,Rep of Ireland,2363
2014-09,Europe,Russian Federation (CIS),5667
2014-09,Europe,Spain,4512
2014-09,Europe,Sweden,2622
2014-09,Europe,Switzerland,6326
2014-09,Europe,Turkey,1469
2014-09,Europe,UK,47786
2014-09,Europe,Other Countries in Eastern Europe,5932
2014-09,Europe,Other Countries in Western Europe,1850
2014-09,Oceania,Australia,90828
2014-09,Oceania,New Zealand,12223
2014-09,Oceania,Other Countries in Oceania,768
2014-09,Africa,Egypt,520
2014-09,Africa,Mauritius,490
2014-09,Africa,South Africa (Rep of),2570
2014-09,Africa,Other Countries in Africa,1962
2014-09,Not Stated,Not Stated,35
2014-10,Americas,Canada,10269
2014-10,Americas,USA,41777
2014-10,Americas,Other Countries in Americas,6329
2014-10,Asia,Brunei Darussalam,3988
2014-10,Asia,Indonesia,224891
2014-10,Asia,Malaysia,76928
2014-10,Asia,Myanmar,8928
2014-10,Asia,Philippines,61390
2014-10,Asia,Thailand,49626
2014-10,Asia,Vietnam,29454
2014-10,Asia,Other Countries in Southeast Asia,3452
2014-10,Asia,China,159888
2014-10,Asia,Taiwan,24737
2014-10,Asia,Japan,75271
2014-10,Asia,South Korea,47656
2014-10,Asia,Other Countries in North Asia,736
2014-10,Asia,Bangladesh,10488
2014-10,Asia,India,93780
2014-10,Asia,Nepal,2030
2014-10,Asia,Pakistan,1612
2014-10,Asia,Sri Lanka,7433
2014-10,Asia,Other Countries in South Asia,868
2014-10,Asia,Iran,930
2014-10,Asia,Israel,1486
2014-10,Asia,Kuwait,727
2014-10,Asia,Saudi Arabia,1842
2014-10,Asia,United Arab Emirates,1543
2014-10,Asia,Other Countries in West Asia,1843
2014-10,Europe,Austria,2068
2014-10,Europe,Belgium &  Luxembourg,2251
2014-10,Europe,Denmark,3348
2014-10,Europe,Finland,2788
2014-10,Europe,France,16068
2014-10,Europe,Germany,24249
2014-10,Europe,Greece,825
2014-10,Europe,Italy,5874
2014-10,Europe,Netherlands,7760
2014-10,Europe,Norway,2479
2014-10,Europe,Poland,2156
2014-10,Europe,Rep of Ireland,2364
2014-10,Europe,Russian Federation (CIS),6821
2014-10,Europe,Spain,3875
2014-10,Europe,Sweden,3944
2014-10,Europe,Switzerland,7965
2014-10,Europe,Turkey,1880
2014-10,Europe,UK,48615
2014-10,Europe,Other Countries in Eastern Europe,7333
2014-10,Europe,Other Countries in Western Europe,1710
2014-10,Oceania,Australia,82652
2014-10,Oceania,New Zealand,10673
2014-10,Oceania,Other Countries in Oceania,845
2014-10,Africa,Egypt,585
2014-10,Africa,Mauritius,522
2014-10,Africa,South Africa (Rep of),2194
2014-10,Africa,Other Countries in Africa,1726
2014-10,Not Stated,Not Stated,55
2014-11,Americas,Canada,10854
2014-11,Americas,USA,43666
2014-11,Americas,Other Countries in Americas,5993
2014-11,Asia,Brunei Darussalam,4477
2014-11,Asia,Indonesia,218591
2014-11,Asia,Malaysia,87483
2014-11,Asia,Myanmar,8035
2014-11,Asia,Philippines,56352
2014-11,Asia,Thailand,31986
2014-11,Asia,Vietnam,29131
2014-11,Asia,Other Countries in Southeast Asia,4675
2014-11,Asia,China,158171
2014-11,Asia,Taiwan,21720
2014-11,Asia,Japan,74063
2014-11,Asia,South Korea,42066
2014-11,Asia,Other Countries in North Asia,859
2014-11,Asia,Bangladesh,10108
2014-11,Asia,India,77512
2014-11,Asia,Nepal,1407
2014-11,Asia,Pakistan,1569
2014-11,Asia,Sri Lanka,8041
2014-11,Asia,Other Countries in South Asia,819
2014-11,Asia,Iran,882
2014-11,Asia,Israel,1585
2014-11,Asia,Kuwait,305
2014-11,Asia,Saudi Arabia,1445
2014-11,Asia,United Arab Emirates,1122
2014-11,Asia,Other Countries in West Asia,1288
2014-11,Europe,Austria,2550
2014-11,Europe,Belgium &  Luxembourg,2684
2014-11,Europe,Denmark,2880
2014-11,Europe,Finland,3299
2014-11,Europe,France,14990
2014-11,Europe,Germany,23538
2014-11,Europe,Greece,858
2014-11,Europe,Italy,6888
2014-11,Europe,Netherlands,7999
2014-11,Europe,Norway,2769
2014-11,Europe,Poland,2875
2014-11,Europe,Rep of Ireland,2360
2014-11,Europe,Russian Federation (CIS),7580
2014-11,Europe,Spain,3975
2014-11,Europe,Sweden,3960
2014-11,Europe,Switzerland,7195
2014-11,Europe,Turkey,1521
2014-11,Europe,UK,47855
2014-11,Europe,Other Countries in Eastern Europe,8228
2014-11,Europe,Other Countries in Western Europe,1674
2014-11,Oceania,Australia,68607
2014-11,Oceania,New Zealand,8787
2014-11,Oceania,Other Countries in Oceania,940
2014-11,Africa,Egypt,484
2014-11,Africa,Mauritius,1064
2014-11,Africa,South Africa (Rep of),2477
2014-11,Africa,Other Countries in Africa,1934
2014-11,Not Stated,Not Stated,54
2014-12,Americas,Canada,12982
2014-12,Americas,USA,47056
2014-12,Americas,Other Countries in Americas,6949
2014-12,Asia,Brunei Darussalam,9967
2014-12,Asia,Indonesia,316207
2014-12,Asia,Malaysia,123647
2014-12,Asia,Myanmar,10001
2014-12,Asia,Philippines,69313
2014-12,Asia,Thailand,35254
2014-12,Asia,Vietnam,30515
2014-12,Asia,Other Countries in Southeast Asia,3620
2014-12,Asia,China,159579
2014-12,Asia,Taiwan,19072
2014-12,Asia,Japan,78289
2014-12,Asia,South Korea,43350
2014-12,Asia,Other Countries in North Asia,1364
2014-12,Asia,Bangladesh,11567
2014-12,Asia,India,90300
2014-12,Asia,Nepal,1759
2014-12,Asia,Pakistan,2013
2014-12,Asia,Sri Lanka,9257
2014-12,Asia,Other Countries in South Asia,1358
2014-12,Asia,Iran,1124
2014-12,Asia,Israel,1181
2014-12,Asia,Kuwait,615
2014-12,Asia,Saudi Arabia,659
2014-12,Asia,United Arab Emirates,2233
2014-12,Asia,Other Countries in West Asia,1671
2014-12,Europe,Austria,2335
2014-12,Europe,Belgium &  Luxembourg,2402
2014-12,Europe,Denmark,2928
2014-12,Europe,Finland,3450
2014-12,Europe,France,14053
2014-12,Europe,Germany,26194
2014-12,Europe,Greece,867
2014-12,Europe,Italy,6230
2014-12,Europe,Netherlands,7761
2014-12,Europe,Norway,2752
2014-12,Europe,Poland,2072
2014-12,Europe,Rep of Ireland,2262
2014-12,Europe,Russian Federation (CIS),8381
2014-12,Europe,Spain,3354
2014-12,Europe,Sweden,5789
2014-12,Europe,Switzerland,7019
2014-12,Europe,Turkey,1392
2014-12,Europe,UK,48061
2014-12,Europe,Other Countries in Eastern Europe,9309
2014-12,Europe,Other Countries in Western Europe,1780
2014-12,Oceania,Australia,88940
2014-12,Oceania,New Zealand,11362
2014-12,Oceania,Other Countries in Oceania,850
2014-12,Africa,Egypt,546
2014-12,Africa,Mauritius,1469
2014-12,Africa,South Africa (Rep of),5002
2014-12,Africa,Other Countries in Africa,3028
2014-12,Not Stated,Not Stated,51
